,Unnamed: 0,index,sentence1,sentence2,variability,confidence,var_ep,conf_ep,lexical,subsequence,gold_label,pred_label
10,2069,2069,"A number of undergraduate schools and colleges have also received it, as has the French Red-Cross, the abbey of Notre-Dame des Dombes, and the French railway company SNCF.",The French railway company is called SNCF.,"[0.0, 0.06284420192241669, 0.07762800966152861, 0.06877962131718746, 0.0633670958409517, 0.06497340576584877, 0.06163019542589026, 0.060745083130824225, 0.06234912504584507, 0.06753827230846207, 0.07080926651779995, 0.09129256089603453, 0.10373271617420998, 0.10157901521237758, 0.14053829820508978, 0.1602544197068597, 0.16739022944268936, 0.17865447586988967, 0.18941530778768698, 0.19213749682370487]","[0.32192033529281616, 0.38476453721523285, 0.4259542127450307, 0.43434181064367294, 0.44193917512893677, 0.4551708499590556, 0.4606452626841409, 0.45340974256396294, 0.4621235562695397, 0.4729901522397995, 0.4823025546290658, 0.500737227499485, 0.5167248455377725, 0.5217357980353492, 0.54862260222435, 0.5704780425876379, 0.5859874855069553, 0.6038999706506729, 0.621602138406352, 0.6338120713829994]",0.0,0.3219203352928161,0,0,entailment,not_entailment
11,1397,1397,"Although I come across Borges and Calvino fairly often, too, I have to admit that Gabriel Garcia Marquez is the only one of the other authors I am at all familiar with, so I am not sure which difference it might make. I would be curious, though, what that difference might look like to people writing about media art and architecture in Spanish, for example.",Gabriel Garcia Marquez is a writer.,"[0.0, 0.06945550441741943, 0.0709551832530499, 0.073584460533226, 0.06986278473198816, 0.0655726827744008, 0.060822206437515715, 0.05766421251955236, 0.0564022904661972, 0.055492663915600385, 0.0884016589187788, 0.1067703721159851, 0.11966226246049269, 0.11836794851890294, 0.15072475307536234, 0.16619210094133177, 0.17530283089896542, 0.18841985383789206, 0.19903282301411201, 0.20700580056420395]","[0.3294096887111664, 0.3988651931285858, 0.4290197392304738, 0.4523913338780403, 0.46410745978355405, 0.47092561423778534, 0.46940805656569345, 0.4658576399087906, 0.4605482220649719, 0.4556453973054886, 0.478040410713716, 0.49766483157873154, 0.5154507366510538, 0.5228653997182846, 0.5491074661413828, 0.5696366894990206, 0.5868412729571847, 0.6063623643583722, 0.6245901694423274, 0.6411622449755668]",0.0,0.3294096887111664,0,0,entailment,not_entailment
12,2239,2239,Bukowski attracted the attention of John Martin who founded Black Sparrow Press in 1965 specifically to publish him.,John Martin is the founder of Black Sparrow Press.,"[0.0, 0.09629024565219879, 0.09195747434175744, 0.08670253116032069, 0.0799540661374943, 0.07324787589568856, 0.06782683613483968, 0.0641506310974304, 0.06274110823554807, 0.11536768736877924, 0.12397558763849564, 0.13510676205735567, 0.15385969547936867, 0.15989148620637994, 0.17520957402804394, 0.1720034498385869, 0.17387600945463597, 0.18356795305875126, 0.18568741597882235, 0.19111317092026764]","[0.33349665999412537, 0.42978690564632416, 0.4635135233402252, 0.48330574482679367, 0.4930370032787323, 0.4902787158886592, 0.48974754554884775, 0.4933309145271778, 0.48743177122539944, 0.5203743159770966, 0.5384580547159369, 0.5579159806172053, 0.5817611584296594, 0.59836374436106, 0.6204632918039957, 0.627791054546833, 0.6400078079279732, 0.657402753829956, 0.6693195010486402, 0.6834027469158173]",0.0,0.3334966599941253,0,0,entailment,not_entailment
13,1383,1383,"US Steel could even have a technical advantage over Nucor since one new method of steel making it is considering, thin strip casting, may produce higher quality steel than the Nucor thin slab technique.",US Steel may invest in strip casting.,"[0.0, 0.0942409485578537, 0.0779897473539749, 0.08115242716621107, 0.07260714912867405, 0.0670733740896069, 0.06213916533037564, 0.05829911717567773, 0.06269097844479934, 0.07656048412739797, 0.07512564423746733, 0.090587130216462, 0.13391545602139673, 0.16405607519284252, 0.1585026987663338, 0.17487517963128513, 0.17803720628273448, 0.1821453357076753, 0.19459200531626697, 0.20064851006993206]","[0.3355845510959625, 0.4298254996538162, 0.4388115008672078, 0.46478530764579773, 0.4638873994350433, 0.46848462522029877, 0.46940923588616507, 0.47110674157738686, 0.46044715245564777, 0.44437659680843355, 0.44999103383584454, 0.46659466872612637, 0.4959751528043013, 0.524071142077446, 0.523608018954595, 0.5452542919665575, 0.558751560309354, 0.5725582821501626, 0.5914663625390906, 0.606487537920475]",0.0,0.3355845510959625,0,0,entailment,not_entailment
14,568,568,"The World Trade Organization, the International Monetary Fund and the World Bank have all been criticized for their role in catalyzing the harmful impacts of corporate globalization on people, the environment and sustainable development.",The World Bank is criticized for its activities.,"[0.0, 0.105430468916893, 0.08622168115858082, 0.07828939628833557, 0.07364497278069052, 0.06743350325193664, 0.06353138414299972, 0.06979546751843173, 0.06649066747886867, 0.06813085486672463, 0.1025437400510408, 0.10752469930190003, 0.12113303371799568, 0.12041536674379331, 0.12699130518424118, 0.16039580546317087, 0.16592689573660221, 0.18461552747702187, 0.1933475130509203, 0.197170966667701]","[0.335805207490921, 0.441235676407814, 0.43778682748476666, 0.45137108117341995, 0.46277500987052916, 0.46512557069460553, 0.46993130445480347, 0.48376552760601044, 0.48039527071846855, 0.48897758722305296, 0.4638869748874144, 0.477107518663009, 0.49536722325361693, 0.5035701085414205, 0.5171809981266657, 0.5437741642817855, 0.5581752543940264, 0.5799774386816554, 0.5968003798472253, 0.610103114694357]",0.0,0.335805207490921,0,0,entailment,not_entailment
15,1458,1458,"The scientific community now generally agrees that between 5 and 8 million years ago, there lived in Africa a hominid which would ultimately give rise to the first hominids and later the members of the genus Homo.","Humans existed 10,000 years ago.","[0.0, 0.10004095733165741, 0.08461690426265978, 0.07422967528942871, 0.06888117263733477, 0.06707527479906729, 0.06342709746563344, 0.05958225716536104, 0.060815210856438706, 0.07321675830259348, 0.10487097078194596, 0.12607106139340912, 0.1545341787760659, 0.16387074810313154, 0.16871118677015257, 0.1782847232270582, 0.1865200332121647, 0.19091006972582872, 0.19256901476463767, 0.19330791396518607]","[0.3390170633792877, 0.43905802071094513, 0.4546767870585124, 0.4615088030695915, 0.4706818640232086, 0.48112452526887256, 0.4863944351673126, 0.4884619824588299, 0.496699806716707, 0.5117259055376053, 0.5364737591960214, 0.5594608808557192, 0.5871639320483575, 0.606134723339762, 0.6217187901337942, 0.6401595864444971, 0.657613117905224, 0.6721444113387002, 0.6840570929803347, 0.694668073952198]",0.0,0.3390170633792877,0,0,not_entailment,entailment
16,1284,1284,"""""""To further assist Mexico, the White House on April 15 named a former U.S. Justice Department official to lead efforts to crack down on drug-related violence along the U.S. side of its southwest border with Mexico.  Homeland Security Secretary Janet Napolitano announced the appointment of Alan Bersin, a former federal prosecutor, during a visit to El Paso, Texas.  Bersin held the same post - dubbed """"""""border czar"""""""" - during the Clinton administration. And three Mexican drug gangs — the Sinaloa cartel, Los Zetas and La Familia Michoacana - have been placed on a list of significant foreign narcotics traffickers targeted for special sanctions, the White House said April 15.  This action allows the United States to freeze all cartel assets in U.S. jurisdiction and bars Americans from dealing with organizations that may be linked or associated with these groups and their operatives.""""""",La Familia Michoacana are drug traffickers.,"[0.0, 0.07350799441337585, 0.09033957623406755, 0.08039482279854347, 0.08030182893140854, 0.07557791312988572, 0.07033339716287855, 0.0665897969650001, 0.0640615331031031, 0.07010675896411092, 0.09969619147712538, 0.11805445807790103, 0.11911548538546995, 0.134218959893931, 0.15175511494764996, 0.14801550513751122, 0.151878752752469, 0.15137109463652734, 0.15111002157312162, 0.1543885978277965]","[0.33911779522895813, 0.412625789642334, 0.46036966641743976, 0.47105295956134796, 0.488925576210022, 0.48069918155670166, 0.4836080414908273, 0.4874950647354126, 0.48298995693524677, 0.4946397811174393, 0.471249211918224, 0.450303823997577, 0.4398010086554747, 0.420506341116769, 0.3994352579116821, 0.39482855424284935, 0.40719611855114207, 0.3990519709057278, 0.39113929240327133, 0.4017603054642677]",0.0,0.3391177952289581,0,0,entailment,not_entailment
17,2172,2172,"John Lennon's widow, Yoko Ono, approved this museum as the world's first museum to honor John Lennon.",Yoko Ono is John Lennon's widow.,"[0.0, 0.10605885088443756, 0.08774747794893581, 0.08491630398866841, 0.07595675104969198, 0.06953629853185225, 0.06496451110830773, 0.06414669825037984, 0.0706716748373982, 0.06989406163664985, 0.08706053433728686, 0.09777744426068666, 0.11923556577923113, 0.14376716948853466, 0.15649013227511344, 0.1649063884093299, 0.17267592977410967, 0.18216429688915609, 0.1901717753476318, 0.19580676468806266]","[0.34225955605506897, 0.44831840693950653, 0.45833422740300495, 0.4802131652832031, 0.4806617975234985, 0.48300445079803467, 0.479448995419911, 0.48721301183104515, 0.5001401470767127, 0.5067241579294205, 0.5244398686018857, 0.5398509626587232, 0.5610486612870142, 0.5850156056029456, 0.6042845586935679, 0.6210883837193251, 0.6373336017131805, 0.6545234637127982, 0.6707304418087006, 0.6852095559239387]",0.0,0.3422595560550689,0,0,entailment,not_entailment
18,685,685,"According to research done by an anti-spam research company Sophos, the United States is the point of origin of over 42% of all spam. Trailing are South Korea with 13% and China with 8% of the world's spam. The security firm performed an audit of its honeypots to come up with the figures ―a honeypot is a special system set up to attract spam or spammers in order to gauge spammer activity. Such activity is not entirely unexpected. The United States accounts for slightly over 25% of all Internet usage, whereas South Korea and China have about 4% and 11% of the world's Internet users, respectively. Yet these percentages still point to the U.S. as being a disproportionate source for spam.",The United States produces spam.,"[0.0, 0.04809696972370148, 0.05097449029471576, 0.06349425604171557, 0.06674201335222314, 0.06224356364230183, 0.05933549429096214, 0.06009250345357702, 0.05686057124717837, 0.12054619099757012, 0.11571957952352561, 0.11680170697197217, 0.12637380447901148, 0.1459348190226921, 0.1659949973463562, 0.17020193702128783, 0.1685451734208842, 0.17025538375981264, 0.17430209835506982, 0.18183960175451072]","[0.34234818816185, 0.39044515788555145, 0.41342543562253314, 0.43977387994527817, 0.45730442404747007, 0.46299970149993896, 0.46877184084483553, 0.4774773046374321, 0.4791820744673411, 0.5151165395975112, 0.5193670906803824, 0.5305170441667239, 0.5472928537772253, 0.5695973400558744, 0.5930146197477977, 0.6074749249964952, 0.6159263200619641, 0.6271921280357573, 0.6399286718744981, 0.6548026695847511]",0.0,0.34234818816185,0,0,entailment,not_entailment
19,121,121,"Molly Walsh, 21, a George Washington University student shopping at a CVS pharmacy in Washington, D.C., said she didn't plan to toss any of the store-brand drugs at home that she'd bought to save money. Nor did she plan to stop buying the generic products.",Molly Walsh plans to stop buying the generic products.,"[0.0, 0.0754258930683136, 0.07197152466422227, 0.0741932644604598, 0.06708836774196451, 0.06692399489783858, 0.06252338720708828, 0.05924396237178059, 0.05631854828585762, 0.07996991873203105, 0.08727129856562467, 0.08400016159302884, 0.08075812481164621, 0.1041939900383967, 0.10926525672561337, 0.12307881948136906, 0.13580069945283976, 0.13224884457227273, 0.15497521899926622, 0.16496552635524642]","[0.34293875098228455, 0.41836464405059814, 0.44470083713531494, 0.4679366946220398, 0.4728645920753479, 0.4849320153395335, 0.4883521624973842, 0.48478005081415176, 0.48223263025283813, 0.4623983532190323, 0.44897273453799164, 0.4463713789979617, 0.4455238878726959, 0.42630778678825926, 0.4376664459705353, 0.45390565879642963, 0.47007761808002696, 0.4721423503425386, 0.4924839813458292, 0.5076968088746071]",0.0,0.3429387509822845,0,0,not_entailment,entailment
20,682,682,"The privately owned spacecraft only got about 400 feet into space, according to radar measurements, but it was enough to confirm that it no longer takes a well-heeled government project to organize space travel.",private spaceship launches,"[0.0, 0.07396309077739716, 0.0780901443398857, 0.07372076902096851, 0.07365748448114702, 0.06971146840158478, 0.07071075652962583, 0.06785857757001314, 0.09215639985089871, 0.10982799007183486, 0.10524878309756194, 0.11939402639462336, 0.11707377839109771, 0.12438330810810569, 0.13923498279549576, 0.16653255757674004, 0.16171585613037323, 0.1588239656995572, 0.15979370590872144, 0.17694052222548057]","[0.3430206775665283, 0.4169837683439255, 0.4519912302494049, 0.4689342603087425, 0.4853478491306305, 0.49357586602369946, 0.4817820574556078, 0.4760527238249779, 0.4526015553209517, 0.43044387400150297, 0.42710199681195343, 0.40779411792755127, 0.4145510242535518, 0.4000226514680045, 0.38122564007838566, 0.40646893763914704, 0.40824171418652816, 0.40267963748839164, 0.3931442918746095, 0.41240786723792555]",0.0,0.3430206775665283,0,0,entailment,not_entailment
21,2113,2113,Saint John's Cathedral is the oldest church in Warsaw.,"In the Old Town, the Gothic St . John's Cathedral and the red-brick fortifications known as the Barbican remain from the medieval period.","[0.0, 0.13170355558395386, 0.10757548109980557, 0.09363450396795246, 0.08374930670386255, 0.0791798548145368, 0.07437707049906096, 0.08375360900724933, 0.07978862255525274, 0.09318079418500697, 0.11561222106147066, 0.14332129935770388, 0.15558950525211993, 0.16833952442813527, 0.1739330206351031, 0.17449998837709765, 0.17789779656556307, 0.18157763786926928, 0.18738443276827052, 0.19226198858903742]","[0.3442652225494385, 0.47596877813339233, 0.4780423939228058, 0.4834601804614067, 0.4835104465484619, 0.4742963910102844, 0.4794301816395351, 0.4970540776848793, 0.501100136174096, 0.5192141532897949, 0.5426082936200228, 0.5700585097074509, 0.5909693837165833, 0.612199353320258, 0.6286824901898702, 0.6404817663133144, 0.6541487223961774, 0.6676111188199785, 0.6822887157139025, 0.6960677862167358]",0.0,0.3442652225494385,0,0,not_entailment,entailment
22,75,75,"The German technology was employed to build Shanghai's existing maglev line, the first in the world to be used commercially.",Maglev is commercially used.,"[0.0, 0.09504325687885284, 0.0835846796458375, 0.07498460427644046, 0.06710618707065291, 0.062091447060111854, 0.05816506527842267, 0.055816344244119326, 0.05383528596738796, 0.08574468426754893, 0.10813389428032574, 0.11860921291917005, 0.13857312371882122, 0.14584056524348368, 0.16860361876451785, 0.17786597851734487, 0.18417339516293188, 0.19700519189843022, 0.20631360692300493, 0.21341945555823533]","[0.34570714831352234, 0.4407504051923752, 0.4627077678839366, 0.4740051403641701, 0.47513293027877807, 0.4706019808848699, 0.47422116569110323, 0.4789296127855778, 0.4749150077501933, 0.451956744492054, 0.47433790970932355, 0.4917881451547146, 0.5145487292454793, 0.5308123454451561, 0.5555620561043422, 0.5737935760989785, 0.5898880090783624, 0.6098521558774842, 0.6277979777047509, 0.6441989161074162]",0.0,0.3457071483135223,0,0,entailment,not_entailment
23,1439,1439,"As a real native Detroiter, I want to remind everyone that Madonna is from Bay City, Mich., a nice place in the thumb of the state's lower peninsula.","Madonna was born in Bay City, Mich.","[0.0, 0.07511422038078308, 0.07428048270525424, 0.07130860693544051, 0.06878163876283616, 0.06514686205126617, 0.060583110293488826, 0.056672455688473816, 0.05343416334991222, 0.05862087839171381, 0.07992246639848029, 0.08547397703742621, 0.10896914235701383, 0.1305101574628802, 0.15144203175024212, 0.15826280937049747, 0.1536807849513183, 0.16850963576937975, 0.1728666358100058, 0.1795533323834702]","[0.34712156653404236, 0.42223578691482544, 0.451868196328481, 0.469632625579834, 0.4825068235397339, 0.4902745187282562, 0.4926019481250218, 0.49278831854462624, 0.4929837683836619, 0.5027971297502518, 0.5208625495433807, 0.5323457395037016, 0.5530227353939643, 0.5745183335883277, 0.596938532590866, 0.6123135033994913, 0.6106546889333164, 0.6295815027422376, 0.6424523921389329, 0.6566885009407997]",0.0,0.3471215665340423,0,0,entailment,not_entailment
24,378,378,"A second man, aged 24, technically freed yesterday was bailed after being questioned over alleged forged identity documents, but has been further detained on immigration matters, a spokesman for Scotland Yard said.",A spokesman for Scotland Yard was freed yesterday.,"[0.0, 0.06715410947799683, 0.06720500769545641, 0.059603934506224025, 0.05510113314731008, 0.051446347383650545, 0.04806679234668768, 0.06337369427921734, 0.07038285836127753, 0.07888167654321908, 0.09366888098276405, 0.09066220537857962, 0.09231396996442319, 0.09424077938341327, 0.0972704806936704, 0.11433820805930478, 0.12637210232836116, 0.1312547509773813, 0.14422100358105758, 0.1570084176444597]","[0.3491630256175995, 0.4163171350955963, 0.44379497567812604, 0.4512166604399681, 0.4581814229488373, 0.45335204899311066, 0.4507128042834146, 0.46759309992194176, 0.4807449479897817, 0.4667451590299606, 0.4490895488045432, 0.44507898141940433, 0.4362542377068446, 0.42762441294533865, 0.41847365101178485, 0.43521287851035595, 0.4503491257919985, 0.4391159854001469, 0.45488975942134857, 0.4709356315433979]",0.0,0.3491630256175995,0,0,not_entailment,entailment
